workSpace,Rue,Code Postal,type
BUROTEL - Congrès,Rue du Congrès 35,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BUROTEL - Congrès,Rue du Congrès 37-41,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BUROTEL - Presse,Rue de la Presse 4,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
CLOCKWISE,Avenue des Arts 44,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
firma II,Rue Locquenghien 35,1000 Bruxelles,None
Interoffices Brussels EU District,Avenue des Arts 56,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Kolonienstraat 11,Rue des colonies 11,1000 Bruxelles,Bureau
"MeetDistrict - Brussel, Spectrum",Boulevard Bischoffsheim 15,1000 Bruxelles,"Coworking, Bureaux virtuels"
Mon siège social - Bruxelles,Boulevard de l'Empereur 10,1000 Bruxelles,Bureaux virtuels
Multiburo,Rue Joseph Stevens 7,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Multiburo - Square,Square de Meeûs 38,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Mundo Trône,Rue de l'Industrie 10,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels"
Regus Brussels Central Station,Rue des Colonies 11,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Brussels eu Square de Meeûs,Square de Meeûs 37,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare CENTRAL,Cantersteen 47,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare EUROPE,Square de Meeûs 35,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare NORTH,Boulevard du Roi Albert II 4,1000 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces - Brussels,Rue Picard 7,1000 Bruxelles,None
Spaces Court Of Justice,Rue aux Laines 70/72,1000 Bruxelles,None
The Library Ambiorix,Square Ambiorix 10,1000 Bruxelles,None
Tribes Brussels Central Station,Rue des Colonies 56,1000 Bruxelles,None
Tribes Brussels European Quarter,Avenue Marnix 13-17,1000 Bruxelles,None
WorkOffice - Bruxelles,Avenue de Stalingrad 52,1000 Bruxelles,None
Buro & Design Center,Esplanade 1,1020 Brussels,"Bureau, Salles de réunion"
Bluepoint - Brussel,Boulevard Auguste Reyers 80,1030 Schaerbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Betacowork,Rue des Pères Blancs 4,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BPS,Boulevard Louis Schmidt 119 - 2ème étage,1040 Etterbeek,"Bureau, Bureaux virtuels, Salles de réunion"
Hive 5 - Bruxelles,Cours Saint-Michel 30B,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Hive 5 - Etterbeek,Rue des Francs 79,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
